Overall Rank,City,Total Score,Healthcare,Food,Fitness,Green Space
1,"San Francisco, CA",69.11,10,1,59,1
2,"Seattle, WA",65.70,14,6,25,2
3,"Portland, OR",65.59,20,3,24,4
4,"San Diego, CA",62.88,26,4,11,9
5,"Honolulu, HI",62.75,12,11,57,5
6,"Washington, DC",61.11,45,8,75,3
7,"Austin, TX",59.12,19,13,27,13
8,"Irvine, CA",58.92,16,35,3,17
9,"Portland, ME",58.75,6,21,19,38
10,"Denver, CO",58.71,55,15,6,12
11,"South Burlington, VT",58.54,1,10,88,137
12,"Burlington, VT",58.49,3,19,90,16
13,"Huntington Beach, CA",57.92,21,44,4,18
14,"Fremont, CA",57.84,4,23,22,30
15,"Minneapolis, MN",57.67,24,24,64,8
16,"Salt Lake City, UT",57.29,72,20,2,36
17,"Scottsdale, AZ",56.24,58,45,1,25
18,"Orlando, FL",55.65,33,17,14,44
19,"Boston, MA",55.50,80,12,51,20
20,"Boise, ID",55.29,52,47,21,11
21,"San Jose, CA",55.19,13,16,38,56
22,"Atlanta, GA",55.18,43,14,23,41
23,"Santa Rosa, CA",54.68,41,63,12,26
24,"Virginia Beach, VA",54.60,7,48,43,34
25,"New York, NY",54.42,98,2,142,14
26,"Madison, WI",54.22,23,41,28,33
27,"Chicago, IL",54.04,86,18,98,10
28,"Columbia, MD",53.83,2,87,30,61
29,"Los Angeles, CA",53.61,118,9,56,35
30,"Glendale, CA",53.54,99,51,35,7
31,"Santa Clarita, CA",53.28,59,84,36,6
32,"Fort Lauderdale, FL",53.25,73,43,10,43
33,"Oakland, CA",53.22,29,5,82,73
34,"Sacramento, CA",53.21,66,29,55,21
35,"Richmond, VA",53.04,25,67,26,42
36,"Plano, TX",52.86,8,90,16,51
37,"Tampa, FL",52.49,39,27,48,47
38,"Oceanside, CA",52.31,35,54,7,117
39,"Miami, FL",52.23,135,7,33,62
40,"Long Beach, CA",52.11,97,36,31,27
41,"Raleigh, NC",52.07,15,28,44,94
42,"Pittsburgh, PA",52.02,42,22,60,55
43,"Lincoln, NE",51.84,22,119,46,19
44,"Vancouver, WA",51.81,30,69,15,88
45,"Tempe, AZ",51.39,107,53,5,68
46,"Anaheim, CA",51.15,47,40,41,53
47,"Chesapeake, VA",50.17,11,115,95,24
48,"Nashua, NH",50.12,37,125,13,93
49,"Rochester, NY",50.12,82,38,68,40
50,"Missoula, MT",49.93,36,131,37,46
51,"Spokane, WA",49.90,57,62,54,48
52,"Durham, NC",49.57,9,50,73,99
53,"Charleston, SC",49.27,17,123,61,52
54,"Colorado Springs, CO",49.21,88,88,9,60
55,"Aurora, CO",49.07,67,81,18,70
56,"St. Paul, MN",49.05,51,66,89,37
57,"Las Vegas, NV",48.93,162,25,29,65
58,"Reno, NV",48.91,114,85,17,49
59,"Grand Rapids, MI",48.79,49,70,69,66
60,"Peoria, AZ",48.79,110,106,58,15
61,"Charlotte, NC",48.32,34,32,76,100
62,"Overland Park, KS",48.21,18,94,72,120
63,"Tacoma, WA",48.14,54,89,40,109
64,"Omaha, NE",47.72,46,68,53,90
65,"Pearl City, HI",47.66,5,112,97,162
66,"Manchester, NH",47.60,61,116,50,76
67,"St. Louis, MO",47.55,103,46,74,57
68,"Philadelphia, PA",47.47,167,30,96,32
69,"Yonkers, NY",47.38,96,33,103,69
70,"Phoenix, AZ",47.34,129,34,85,54
71,"Albuquerque, NM",47.25,122,72,47,59
72,"Baltimore, MD",47.23,121,26,100,64
73,"Cincinnati, OH",47.13,111,49,87,50
74,"Chula Vista, CA",47.07,32,78,39,132
75,"Chandler, AZ",47.07,91,82,8,123
76,"Garden Grove, CA",47.05,50,60,109,83
77,"Rancho Cucamonga, CA",46.95,105,145,34,23
78,"Tucson, AZ",46.87,143,52,32,78
79,"St. Petersburg, FL",46.84,81,79,65,63
80,"Wilmington, DE",46.68,78,97,104,28
81,"Gilbert, AZ",46.49,76,92,20,113
82,"Buffalo, NY",46.32,87,37,114,67
83,"Pembroke Pines, FL",46.27,56,100,49,146
84,"Oxnard, CA",46.11,105,71,84,81
85,"Sioux Falls, SD",46.08,93,73,67,101
86,"Fargo, ND",45.93,70,105,63,111
87,"Jacksonville, FL",45.60,90,83,70,80
88,"Glendale, AZ",45.19,148,101,52,58
89,"Anchorage, AK",45.10,125,93,118,31
90,"Bridgeport, CT",45.03,130,112,62,71
91,"Jersey City, NJ",44.77,100,31,125,96
92,"Santa Ana, CA",44.76,85,57,105,86
93,"Houston, TX",44.75,75,39,106,124
94,"New Haven, CT",44.59,89,111,133,39
95,"Dallas, TX",44.30,109,58,81,115
96,"Bismarck, ND",44.16,126,77,71,134
97,"Des Moines, IA",43.78,38,136,79,103
98,"Norfolk, VA",43.67,31,118,136,74
99,"Tallahassee, FL",43.64,62,166,116,22
100,"Knoxville, TN",43.36,156,96,83,84
101,"Columbia, SC",43.27,44,128,91,156
102,"Henderson, NV",43.21,140,134,45,85
103,"Aurora, IL",43.18,63,127,102,97
104,"Providence, RI",43.12,158,56,150,45
105,"Greensboro, NC",43.07,64,156,80,89
106,"Mesa, AZ",43.03,138,76,41,158
107,"Juneau, AK",42.97,68,91,170,82
108,"West Valley City, UT",42.81,128,59,92,165
109,"Newport News, VA",42.65,27,129,149,98
110,"Milwaukee, WI",42.60,142,86,113,72
111,"Billings, MT",42.58,69,126,128,122
112,"Riverside, CA",42.45,131,114,66,108
113,"Salem, OR",42.43,108,75,152,92
114,"Warwick, RI",42.40,77,102,124,128
115,"Fresno, CA",42.29,137,55,94,129
116,"Cleveland, OH",42.16,132,42,161,87
117,"Cedar Rapids, IA",42.11,40,132,127,125
118,"San Antonio, TX",42.06,104,95,120,95
119,"Modesto, CA",41.70,160,122,108,77
120,"Springfield, MO",41.66,95,142,122,75
121,"Cheyenne, WY",41.63,48,163,112,167
122,"Kansas City, MO",41.62,53,117,144,107
123,"Columbus, OH",41.48,71,99,148,104
124,"Worcester, MA",41.34,120,103,145,91
125,"Rapid City, SD",41.33,101,107,156,116
126,"New Orleans, LA",41.07,166,130,147,29
127,"Fort Worth, TX",40.92,116,120,78,153
128,"Lexington-Fayette, KY",40.86,28,104,162,155
129,"Cape Coral, FL",40.79,102,135,93,160
130,"Nashville, TN",40.64,154,64,138,112
131,"Huntsville, AL",40.25,60,141,153,127
132,"Port St. Lucie, FL",40.18,146,109,86,176
133,"Indianapolis, IN",40.08,144,80,157,105
134,"Lewiston, ME",39.98,65,165,129,159
135,"Little Rock, AR",39.77,83,139,140,114
136,"Arlington, TX",39.64,115,140,77,147
137,"El Paso, TX",39.50,173,110,101,110
138,"Chattanooga, TN",39.15,141,150,99,130
139,"Louisville, KY",39.08,164,74,146,135
140,"Casper, WY",38.85,117,171,111,172
141,"Oklahoma City, OK",38.63,84,148,134,126
